verb,bloom_level
acquire,apply
act,apply
adapt,apply
administer,apply
allocate,apply
aplphabetize,apply
apply,apply
articulate,apply
ascertain,apply
assess,apply
assign,apply
attain,apply
avoid,apply
back up,apply
calculate,apply
capture,apply
change,apply
chart,apply
choose,apply
classify,apply
collect,apply
complete,apply
compute,apply
construct,apply
contribute,apply
control,apply
customize,apply
demonstrate,apply
depreciate,apply
derive,apply
determine,apply
develop,apply
diminish,apply
discover,apply
dramatize,apply
draw,apply
employ,apply
establish,apply
examine,apply
exercise,apply
explore,apply
expose,apply
express,apply
extend,apply
factor,apply
figure,apply
generalize,apply
graph,apply
handle,apply
illustrate,apply
imitate,apply
implement,apply
include,apply
inform,apply
instruct,apply
interconvert,apply
interpret,apply
interview,apply
investigate,apply
list,apply
manipulate,apply
modify,apply
operate,apply
organize,apply
paint,apply
participate,apply
personalize,apply
plot,apply
practice,apply
predict,apply
prepare,apply
price,apply
process,apply
produce,apply
provide,apply
question,apply
relate,apply
report,apply
round off,apply
schedule,apply
select,apply
sequence,apply
show,apply
simulate,apply
sketch,apply
solve,apply
subscribe,apply
tabulate,apply
transcribe,apply
transfer,apply
translate,apply
use,apply
utilize,apply
write,apply
arrange,remember
cite,remember
define,remember
describe,remember
draw,remember
duplicate,remember
enumerate,remember
identify,remember
index,remember
indicate,remember
label,remember
list,remember
locate,remember
match,remember
meet,remember
memorize,remember
name,remember
order,remember
outline,remember
point,remember
quote,remember
read,remember
recall,remember
recite,remember
recognize,remember
record,remember
relate,remember
repeat,remember
reproduce,remember
review,remember
select,remember
state,remember
study,remember
tabulate,remember
tell,remember
trace,remember
underline,remember
write,remember
add,understand
approximate,understand
articulate,understand
associate,understand
characterize,understand
clarify,understand
classify,understand
compare,understand
compute,understand
contrast,understand
convert,understand
defend,understand
describe,understand
detail,understand
differentiate,understand
discuss,understand
distinguish,understand
elaborate,understand
estimate,understand
example,understand
explain,understand
express,understand
extend,understand
extrapolate,understand
generalized,understand
give,understand
give examples,understand
identify,understand
illustrate,understand
indicate,understand
infer,understand
interact,understand
interpolate,understand
interpret,understand
interrelate,understand
locate,understand
match,understand
observe,understand
paraphrase,understand
picture graphically,understand
predict,understand
recognize,understand
restate,understand
review,understand
rewrite,understand
select,understand
subtract,understand
summarize,understand
translate,understand
visualize,understand
analyze,analyze
audit,analyze
blueprint,analyze
breadboard,analyze
break down,analyze
categorize,analyze
change,analyze
characterize,analyze
choose,analyze
classify,analyze
compare,analyze
confirm,analyze
contrast,analyze
correlate,analyze
demonstrate,analyze
detect,analyze
diagnose,analyze
diagram,analyze
differentiate,analyze
discover,analyze
discriminate,analyze
dissect,analyze
distinguish,analyze
document,analyze
dramatize ,analyze
employ,analyze
ensure,analyze
examine,analyze
explain,analyze
explore,analyze
figure out,analyze
file,analyze
group,analyze
identify,analyze
illustrate,analyze
infer,analyze
interpret,analyze
interrupt,analyze
inventory,analyze
investigate,analyze
layout,analyze
manage,analyze
manipulate,analyze
maximize,analyze
minimize,analyze
modify ,analyze
operate,analyze
optimize,analyze
order,analyze
outline,analyze
point out,analyze
practice,analyze
predict,analyze
prepare,analyze
prioritize,analyze
produce,analyze
proofread,analyze
query,analyze
relate,analyze
schedule,analyze
select,analyze
separate,analyze
show,analyze
sketch,analyze
solve,analyze
subdivide,analyze
survey,analyze
train,analyze
transform,analyze
use,analyze
write,analyze
appraise,evaluate
argue,evaluate
assess,evaluate
attach,evaluate
choose,evaluate
compare,evaluate
conclude,evaluate
contrast,evaluate
counsel,evaluate
criticize,evaluate
critique,evaluate
decide,evaluate
defend,evaluate
describe,evaluate
determine,evaluate
discriminate,evaluate
estimate,evaluate
evaluate,evaluate
explain,evaluate
grade,evaluate
hire,evaluate
interpret,evaluate
jsutify,evaluate
judge,evaluate
justify,evaluate
measure,evaluate
predict,evaluate
prescribe,evaluate
priotize,evaluate
prove,evaluate
rank,evaluate
rate,evaluate
recommend,evaluate
reframe,evaluate
relate,evaluate
release,evaluate
select,evaluate
summarize,evaluate
support,evaluate
test,evaluate
validate,evaluate
value,evaluate
verify,evaluate
weigh,evaluate
abstract,create
animate,create
arrange,create
assemble,create
budget,create
categorize,create
code,create
collect,create
combine,create
compile,create
comply,create
compose,create
construct,create
cope,create
correspond,create
create,create
cultivate,create
debug,create
depict,create
design,create
develop,create
devise,create
dictate,create
enhance,create
explain,create
facilitate,create
format,create
formulate,create
generalize,create
generate,create
handle,create
hypothesize,create
import,create
improve,create
incorporate,create
integrate,create
interface,create
invent,create
join,create
lecture,create
model,create
modify,create
network,create
organize,create
originate,create
outline,create
overhaul,create
plan,create
portray,create
prepare,create
prescribe,create
produce,create
program,create
rearrange,create
reconstruct,create
relate,create
reorganize,create
revise,create
rewrite,create
role-play,create
set up,create
specify,create
summarize,create
synthesize,create
tell,create
write,create
